f1,f2,f3,f4,f5,f6,f7,f8
140,125,0,0,0.2777779,0.06296301,0.66666675,0.31111118
188,133,0,0,0.33333334,0.26666674,0.5,0.077777736
105,139,0,0,0.27777782,0.107407436,0.83333325,0.52222216
34,137,0,0,0.5000002,0.16666673,1.111111,0.47407418
39,111,0,0,0.72222227,0.37407416,0.8888889,0.4296295
16,128,0,0,0.5,0.077777766,0.66666675,0.31111118
26,67,0.11111111,0,1,0.8888903,2.4444447,3.1851847
14,110,0,0,1.7222224,5.3518505,2.6666667,1.0222229
11,108,0,0,1.3333335,0.80000025,1.3888888,0.95185167
85,101,0,0,1.3333334,1.2888881,1.2777777,1.2185181
18,145,0,0,0.38888896,0.018518496,0.6111111,0.3740741
23,55,0,0,2.2222216,3.6740727,1.7777773,0.7851852
196,129,0,0,0.83333325,0.43333334,0.6666667,0.17777774
80,116,0,0,1.5,1.6333328,1.5555557,0.87407404
2,44,0,0,2.1666672,2.3888876,2.3888896,1.5296285
120,136,0,0,0.61111116,0.4185187,1.0000001,0.4444444
146,124,0,0,0.4999999,0.16666664,0.38888875,0.107407376
23,85,0,0,1.4444445,1.0518525,1.777778,0.96296287
138,116,0,0,0.6111111,0.15185188,0.4444445,0.20740739
229,124,0,0,0.888889,0.074073985,0.8888889,0.3407407
22,116,0,0,0.38888875,0.10740741,0.33333325,0.13333334
121,60,0,0,2.277778,2.329629,2.888889,2.8740742
33,149,0,0,0.5555556,0.25185165,0.72222227,0.15185171
80,95,0,0,1.2222223,1.0074079,0.944444,0.5518514
96,84,0,0,1.5000004,1.2777773,1.6111107,2.2851882
145,102,0,0,0.88888866,0.6074083,2.611111,1.4851857
18,138,0,0,0.88888884,0.5629629,0.83333325,0.29999986
138,133,0,0,0.6666667,0.44444433,1.1666666,0.21111093
121,113,0,0,1.722222,1.5296303,2.944444,1.5296295
95,57,0,0,1.8333327,3.4111106,2.1111107,1.7185175
140,25,0,0,0.99999875,1.4666697,1.1111107,0.118517555
142,33,0,0,0.49999872,0.62360865,0.50000125,0.3496027
66,41,0,0,0.61111194,0.32773077,0.38889185,0.32773316
165,99,0,0,0.88889056,0.47407392,0.7777786,0.47407353
228,20,0,0,1.0555547,0.49065518,0.8333333,0.7527733
124,29,0,0,1.0000013,0.7111076,1.0555534,0.90741664
156,32,0,0,0.77777356,0.16296418,2.6111095,1.0407379
21,90,0,0,0.66666794,0.044444147,0.7777786,0.56296283
8,39,0.11111111,0,1.3888906,1.129629,1.8333334,0.699999
122,11,0,0,1,0.31111577,2.8888905,5.051852
44,79,0,0,0.44444403,0.34426486,0.7777786,0.4036864
7,18,0,0,1.2777786,0.7296265,0.9444453,0.37407914
188,42,0,0,0.7777786,0.5443299,1.6666679,1.2649081
152,18,0,0,0.7777774,0.4554219,0.55555725,0.2721644
120,74,0,0,0.3333346,0.08888922,0.50000125,0.07777796
143,24,0,0,1.2777773,0.9074056,0.88888806,1.1407489
181,27,0,0,0.7222214,0.46296388,0.5,0.25555483
107,21,0,0,0.66666156,0.51639783,1.1666666,0.4082483
226,83,0,0,0.8888893,0.5185186,1.0555521,0.50740635
93,29,0,0,1.2222239,1.2296363,1.3888906,1.5740819
60,52,0,0,0.7222226,0.5963011,0.7777774,0.7407436
179,101,0,0,0.44444785,0.3851871,0.61110944,0.32963282
112,30,0,0,0.55555725,0.2721644,1.2222227,0.7200825
103,64,0,0,0.6666667,0.6992054,1.3333308,0.91893595
174,50,0,0,1.0000013,0.7601153,0.9444453,0.9525792
80,40,0,0,0.6111107,0.5741323,0.7222226,0.7722025
67,71,0,0,1.6666666,0.8888911,1.4999987,0.29999846
92,56,0,0,0.44444275,0.029629406,0.8333333,0.5666677
67,32,0,0,0.944444,1.0628421,1.7777786,1.3109215
125,46,0.11111111,0,0.61110944,0.61161584,2.166668,0.7817352
101,121,0.11111111,0,0.6666667,0.843274,1.5,0.88819396
21,122,0,0,0.44444445,0.4036867,0.44444445,0.4036867
45,89,0,0,0.7777777,0.3407409,0.77777773,0.47407398
18,87,0,0,1.5555555,1.9626132,1.8888887,1.7469552
52,102,0,0,0.72222227,0.50740725,0.8333333,0.5666668
54,91,0,0,1.4444443,1.540741,0.8333333,0.25555572
80,87,0,0.11111111,24.388891,572.9964,44.722225,1386.3292
140,124,0,0,1,0.44444454,1.1111112,1.0518516
69,139,0,0,2.8333328,1.7732588,2.1111112,1.6688871
9,80,0,0,2.9444444,13.751853,16.666666,71.5111
6,81,0,0.11111111,4.111111,8.740745,5.722223,28.50741
74,129,0,0,0.22222222,0.029629637,0.11111111,0.029629635
41,75,0,0.11111111,15.388889,19.136257,26.611113,31.71359
36,145,0,0,0.2777778,0.19629629,1.2777778,2.0629628
94,144,0,0,0.44444442,0.118518494,0.49999997,0.1666667
18,90,0,0,1.0555555,0.37407416,0.6666667,0.22222227
68,103,0,0,0.66666675,0.57777774,1.111111,0.96296334
45,108,0,0.11111111,25.5,12.795401,27.277779,15.930981
59,99,0,0,0.77777785,0.8296297,0.99999994,0.3555556
67,136,0,0,6.722223,3.7083488,2.6666667,3.1972213
226,110,0,0,0.33333334,0.08888887,0.49999997,0.2111111
231,124,0,0,3.4444447,14.962965,1.8333334,6.4333353
103,125,0,0,0.9444445,0.82775915,0.83333343,0.6912146
1,81,0,0,12.166667,267.45554,9.222222,205.36296
230,124,0,0,0.2777778,0.10740743,0.2777778,0.15185183
58,109,0,0,0.8888889,0.25185165,2.8333333,1.677777
