f1,f2,f3,f4,f5,f6,f7,f8
182.81477,97.08797,0.0029518108,0.000471433,1.6512903,2.99752,2.0714037,2.4163976
198.62402,114.37801,0.0027130346,0.0019129051,1.7370564,3.0865412,2.3562582,3.120626
188.85562,144.93103,0.0055948696,0.0011764897,1.4334397,1.3395149,1.9981517,1.3245442
32.860676,134.83875,0.005325258,0.0029656556,2.0278728,9.191527,2.8258927,13.569317
54.22788,133.04405,0.011084845,0.00085305504,1.998589,6.261601,2.5196092,8.461358
63.707188,147.8771,0.009012014,0.0032327704,1.7994461,9.0454645,2.7149763,12.04563
62.576534,84.90162,0.111646056,2.106693e-05,1.536365,2.2182593,1.8349631,3.0113041
73.545395,159.1887,0.008262595,0.005459812,1.730347,3.5144162,2.8701959,5.233724
73.54861,159.8911,0.010939817,0.0043144757,1.8291948,6.307619,2.7738366,8.630216
93.30551,131.13472,0.007326941,0.00075798563,1.8001419,2.2293427,2.1139796,1.6975849
64.42452,145.82576,0.007524997,0.00089752674,1.7568787,4.4408045,2.332451,8.390791
41.40428,132.56004,0.013110807,0.0009913445,1.7075907,5.2719054,2.0581381,4.122411
160.91425,171.94362,0.011241983,0.003111071,1.5221407,1.1179372,2.478794,0.756121
110.20253,138.85803,0.019930383,0.00032411682,1.6462618,2.7989955,2.2727191,3.8701777
39.08708,154.91685,0.0031707585,0.009033223,2.1338077,4.7908893,2.619358,4.88758
110.363754,159.40904,0.010332584,0.004617936,1.8941588,4.2449102,2.9197037,5.867757
168.37938,125.38576,0.006246756,0.00050195056,1.7560157,4.7630777,2.536095,8.737637
74.02577,138.49307,0.009869765,0.00081819296,1.7816521,2.6117024,2.2219558,2.6917677
162.86691,167.33733,0.011114081,0.0017294618,1.7912815,1.667256,2.654258,3.1327727
168.42418,68.58139,0.003983021,0.00019168192,1.8545804,7.205545,2.1711032,5.5140104
43.44847,150.53514,0.0069499514,0.00510835,1.9750036,5.9357514,2.7539015,5.0770545
168.42346,144.82994,0.008311143,0.000929349,1.7648569,1.9073945,2.4618938,2.9587092
64.17308,154.10591,0.0063287816,0.0049470663,1.6914409,5.0423474,2.5439534,7.40892
130.72641,128.51405,0.0156149175,0.00013413031,1.687029,1.5422657,2.1829653,1.5488065
56.687172,150.48923,0.005124986,0.00059143704,1.1147401,0.7956048,1.6458898,0.41096857
159.40685,95.13106,0.008097569,0.00013518996,1.811797,3.2473822,2.1274037,4.0179234
59.47864,136.18515,0.009641032,0.000498169,1.7079651,2.7744942,1.9968921,3.7508576
127.51092,133.9628,0.008222252,0.0003147986,1.6836987,1.3085407,2.052119,1.5883044
162.03477,105.410576,0.004971564,0.00029192367,1.763136,3.9440353,2.2812133,3.4210746
136.11037,130.82558,0.012246996,0.00033391846,1.8120409,2.7480714,2.3936772,5.372917
178.24072,52.66095,0.0017342468,0.00022092792,1.8408387,8.008686,1.9617815,4.8835726
190.28838,43.09261,0.0005496542,0.0003387398,1.7220606,10.392575,1.684535,3.5422127
143.55148,85.76019,0.01723363,8.404917e-05,1.8403761,2.822049,2.1176116,3.742925
197.75558,86.53382,0.001673907,0.0010825859,1.8202769,3.614905,2.1976452,1.9900182
200.92517,88.90981,0.0012364388,0.001394901,1.4007822,2.0476944,1.875549,1.0988358
143.53255,44.15654,0.024752825,1.1556678e-05,1.5756552,2.4643977,1.6856493,2.126691
173.2673,42.76229,0.0014436543,0.00012206369,1.9035584,7.3788586,1.6918936,2.6565666
44.722404,139.86989,0.010108918,0.0024382074,1.9386204,7.931251,2.6368194,6.89995
32.191647,85.10049,0.16720816,2.0013915e-05,1.3692212,2.1592665,1.9020855,2.673506
145.25587,57.052605,0.020742636,3.141827e-05,1.7262225,3.3669934,1.9304748,2.1928377
67.85612,140.76573,0.014793843,0.00071674585,1.8732209,5.5431657,2.3699422,8.571176
63.464775,119.060936,0.022987664,0.000357204,1.6404939,4.0908375,2.1506362,5.0213194
171.08588,85.42242,0.004370292,0.00014767381,1.9041662,2.9024694,1.9596477,3.0043218
