f1,f2,f3,f4,f5,f6,f7,f8,f9,f10
10.85952,9.110212,14.717489,8.184799,-3.8214567,12.628994,-7.8024893,14.515487,0.57919556,-1.6847694
9.4954815,8.350484,14.432129,7.157723,-2.318123,11.935628,-7.5272202,13.677658,0.54432607,-1.6843224
10.044752,9.019813,9.298704,12.467113,-4.718955,-3.2385185,9.992183,12.49933,0.40601295,1.6925462
46.379448,43.33693,56.650463,41.95615,-11.395507,26.270687,-16.157455,56.461178,0.23617402,-1.9418893
8.63604,7.657451,11.835726,6.6621284,-2.3904357,10.623087,-6.1226563,12.0300665,0.6437209,-1.6908436
6.9053497,6.6896725,8.902712,5.489852,1.0599313,5.5037203,-5.2881293,9.004219,0.5078596,-1.1506454
24.10792,21.534433,30.203724,19.662153,-6.217756,18.228594,-11.914456,30.09705,0.33095872,-1.7757745
12.764018,12.959841,15.632857,11.20919,-1.4916154,9.017465,-7.169051,16.09877,0.43178648,-1.0922766
18.766369,18.430832,22.50902,15.792513,-2.7079713,12.92044,-8.450216,21.977695,0.39886075,-1.3358791
24.738106,22.29945,31.435915,21.15477,-7.2092223,18.635183,-11.513234,31.153927,0.35756272,-1.8537992
5.958177,5.687051,7.0028243,5.1392922,0.8294968,1.2739083,-1.5292635,7.865161,0.55875915,-0.5246178
24.753166,21.83974,30.831459,21.126408,-7.7464333,19.032423,-10.774012,30.66204,0.43349093,-1.8115468
8.848284,7.5149436,11.867114,6.734119,-3.8844512,11.308203,-6.3069715,12.273004,0.6749399,-1.6354333
24.456133,22.211138,30.735907,20.87401,-7.046656,19.83677,-11.342918,31.430933,0.4139702,-1.7054707
18.255373,15.611252,25.241451,14.060783,-8.726437,21.931896,-12.160862,25.59559,0.5214939,-1.9906502
9.977737,9.092081,12.169809,7.737446,-1.1658478,7.781197,-6.0641227,12.616562,0.5430062,-1.4360394
10.846435,9.649214,14.650176,8.484526,-3.56926,12.327197,-6.6159873,14.679504,0.62509626,-1.5926341
14.954735,14.567613,18.402533,12.5192585,-2.38996,10.505153,-8.143819,18.397243,0.42647344,-1.4756738
20.456617,19.257668,25.933691,17.869747,-4.3832316,16.106417,-8.672511,25.26353,0.420097,-1.6699113
14.494277,12.836837,20.023737,11.717378,-4.5784383,15.944247,-10.556718,19.873741,0.51462984,-1.7822372
5.6287217,4.9660683,7.9993467,4.0371203,-0.44421497,6.993463,-6.3667693,7.8601966,0.67051625,-1.5400546
18.93013,15.23569,26.094704,15.410854,-10.554138,21.412506,-9.585094,25.921019,0.561159,-2.0442376
4.2370543,4.0190234,5.812718,3.1585546,1.1367682,3.290826,-4.0030575,5.94975,0.6949353,-1.2830079
18.885197,16.2396,25.295998,15.193646,-3.7130742,17.93279,-11.7010765,26.149475,0.3360597,-1.8996519
17.667948,16.220198,21.845785,15.175603,-3.6062913,12.895064,-8.4854,22.15149,0.36791855,-1.3156475
31.62158,26.50317,40.396126,26.685051,-12.589082,26.169218,-12.438653,41.425827,0.40891713,-2.1282861
11.462438,11.156534,13.8340225,9.45236,-1.8575648,8.265435,-5.952266,14.095082,0.51004463,-1.1597592
9.082275,7.8998218,12.449976,7.127576,-2.9146116,11.480654,-6.7530737,12.761468,0.6726346,-1.6034784
10.49557,8.770438,16.235794,7.9318695,-5.100393,16.461304,-9.454542,15.965187,0.63025326,-1.9378408
20.57601,19.22117,26.52937,17.545767,-5.096391,16.089687,-10.934674,26.42248,0.40074345,-1.7531797
133.65681,125.637924,145.17064,131.04587,-30.488361,44.76431,-13.618538,144.90683,0.13402772,-2.4356573
112.83923,99.11954,130.21849,106.683784,-39.28823,59.783466,-17.213308,130.07909,0.27480322,-2.1343644
133.03766,124.339096,144.56544,129.19388,-29.098461,43.344986,-14.51021,144.61517,0.16435209,-2.4932516
79.23532,65.45643,100.62926,67.63576,-38.93573,67.13081,-26.620253,101.27535,0.40376297,-2.1505878
139.57144,131.62067,149.10844,137.69518,-34.26377,39.917732,-8.4390955,149.17435,0.10266167,-2.6671178
133.99074,125.98392,145.37755,130.71071,-24.38074,36.389767,-12.349415,145.36661,0.12922576,-2.4932375
128.28937,120.557076,140.3481,125.63747,-21.82017,30.28909,-8.464541,140.33392,0.11863208,-2.1682093
122.01639,110.20643,137.7236,117.28689,-36.74986,55.50544,-17.85005,136.65125,0.2538944,-2.3649275
122.82506,111.73878,138.25958,118.60666,-33.703274,51.788937,-16.333063,137.74095,0.22692025,-2.3497655
137.58322,129.87906,147.78851,135.39728,-29.08454,35.146835,-9.088408,147.7733,0.09044415,-2.466274
128.73137,117.790825,142.99773,124.662926,-36.458992,51.744667,-15.01768,142.76013,0.21501458,-2.4880219
138.47803,131.3852,148.17014,136.65913,-30.31499,41.65004,-10.45264,148.15958,0.07925749,-2.4150145
129.3718,118.19227,144.07848,125.487755,-40.66995,57.97047,-15.751083,143.87314,0.19496235,-2.4140391
122.641594,111.201836,138.1379,118.130684,-36.334618,53.25684,-16.33175,137.95262,0.2331185,-2.3619127
110.9542,97.28577,129.91618,104.76506,-38.233364,60.40915,-18.508173,129.06998,0.27209598,-2.217076
135.9738,127.12088,146.69188,133.09612,-30.355701,39.698704,-11.140032,146.90598,0.13483438,-2.5931032
136.13734,127.490524,146.85393,133.37581,-25.423025,34.871468,-9.915873,146.94815,0.09559724,-2.4845955
133.69363,123.92621,145.48276,130.39572,-34.580982,48.351887,-13.290619,145.39198,0.17746574,-2.5212479
99.26823,88.112465,115.77429,92.47952,-35.181595,56.84856,-19.946243,115.33164,0.2850066,-2.1061478
140.19174,132.34622,149.58797,138.04202,-35.12274,42.56981,-9.697252,149.64348,0.10473794,-2.7438834
117.565926,104.50209,135.63097,112.201965,-38.382065,57.779896,-17.408863,134.95345,0.2598873,-2.219012
139.80704,132.24702,149.17558,137.80965,-30.87291,38.807648,-11.363455,149.12502,0.107470006,-2.6150954
137.88176,129.21161,148.21935,135.15057,-30.644278,44.847797,-12.6124525,148.0992,0.13436249,-2.6448863
127.26862,117.61511,141.11813,123.0303,-32.083538,48.526752,-15.19985,141.07074,0.20768929,-2.406222
109.19376,96.777245,127.62573,104.791534,-37.38116,58.916683,-18.479948,127.42643,0.24429655,-2.222937
135.89894,127.50094,146.8399,133.16624,-25.712248,35.7927,-10.557611,146.80812,0.11354938,-2.4795556
130.13185,119.51857,143.4511,126.22047,-34.789722,49.047565,-13.027303,143.38647,0.19682631,-2.4799352
127.47028,116.44535,141.78166,123.344734,-35.60638,51.698437,-13.894626,141.8686,0.22319189,-2.32935
139.19809,131.2057,148.89656,137.22809,-33.69346,43.85278,-11.357445,148.8494,0.11768311,-2.6625586
136.31157,127.23496,147.02438,133.57579,-31.45953,44.09377,-12.417866,146.99638,0.14808932,-2.5601225
8.930958,6.451057,14.294144,6.527719,-10.48201,19.069113,-7.444938,14.232002,0.75112957,-2.1147761
5.1230645,3.9244924,8.024606,3.7334342,-2.6824112,10.01964,-5.5235023,8.387248,0.7754115,-1.796333
1.1322919,0.6402836,2.4485514,0.7286835,-9.133398,11.038977,0.30489817,2.545364,0.97402537,-2.1519325
3.6118686,2.5176487,6.5491114,2.4822464,-5.064517,10.436602,-3.4069598,6.6372538,0.8432728,-2.1014044
7.6032825,5.5351777,12.531117,5.538676,-9.527739,17.962177,-6.4763155,12.82709,0.7647392,-2.1108165
2.590551,1.8838989,4.480012,1.8364679,-4.8681116,6.809612,-1.6948068,4.739372,0.9125366,-1.9966077
85.082466,77.03329,98.23833,78.449814,-27.280424,48.480625,-20.924818,97.53596,0.2817654,-2.1643896
4.838197,3.7892668,7.7821674,3.616588,-4.3206277,11.05985,-4.981808,7.8634205,0.8192542,-1.8810182
27.73679,26.815235,33.359825,23.963156,-5.0942287,17.385193,-11.597593,33.486267,0.33824778,-1.6833557
16.623245,15.179484,21.306213,13.322426,-5.2829123,15.533904,-9.728421,21.309956,0.47719723,-1.5758684
5.474788,4.3517365,9.166105,3.3718965,-3.991314,12.974613,-7.6218557,8.648866,0.7600543,-1.9527884
2.286305,1.5753763,4.295916,1.6431363,-5.3816204,8.622385,-0.14503181,4.3259277,0.933292,-2.09856
57.215878,51.192535,69.79447,51.210045,-18.048698,40.194065,-21.188425,68.97219,0.2757405,-2.2322927
31.923138,28.250671,39.088505,26.638968,-9.345342,24.243027,-13.786906,39.911198,0.32691902,-2.019735
1.7773775,1.214979,3.4084558,1.205096,-5.1700892,8.125251,-1.5729319,3.6094332,0.9380042,-2.1468656
2.3925338,1.9221665,3.8866496,1.8051735,-1.4646335,4.272595,-0.5923546,3.9152226,0.90209925,-1.7934113
1.4563395,1.0573814,2.5163639,1.0488495,-1.451004,3.6005545,0.6938551,2.708307,0.94620323,-1.8704023
33.74046,27.448286,45.714027,26.364584,-17.855387,36.164024,-16.883245,45.1257,0.41337726,-2.1026237
5.47696,3.9062965,9.169518,4.100975,-7.3427353,14.136288,-4.380949,9.101364,0.83363473,-2.101047
13.807712,10.180636,22.202906,10.875302,-14.892111,28.004267,-11.582608,22.37773,0.69523084,-2.2661893
0.95376885,0.6429437,1.7922288,0.6763081,-1.2632629,1.0841831,3.6802428,1.9992453,0.9686908,-1.8749483
3.3789122,2.4839945,5.7350664,2.3686674,-4.569461,9.994167,-3.7148008,5.9745774,0.8813654,-1.9420295
