sepal length (cm),sepal width (cm)
6.3316536,2.932825
5.0426474,3.4029493
6.2125216,2.8936574
5.9737244,2.9468703
4.9248,3.4279964
5.8976645,2.822718
6.2452836,3.1710467
5.932807,2.7649522
5.2086062,3.6088798
5.1608214,3.2377021
7.0228066,3.2755494
6.7792645,3.0803764
6.6555076,3.0258927
6.0124507,2.774745
6.5753765,3.2113023
7.0222135,3.1799612
5.224265,3.2905684
6.00929,2.8757427
5.6113467,2.4780903
6.798569,3.1684346
6.5792627,3.0226738
5.3106055,3.1619272
4.8246713,3.6241581
5.8351173,2.597277
5.542931,3.5125048
5.5345964,3.1157017
5.5611525,2.997873
5.3670554,3.3343806
6.2651258,3.1356802
6.3308005,2.8109725
6.163014,2.7396498
5.8336916,2.8373346
4.7612796,3.6211061
5.9533896,3.4191961
5.106094,3.252243
6.1075897,2.5511343
4.824468,3.822167
5.483858,2.9366257
5.203246,3.2186291
5.0792613,3.5195332
6.2284946,2.579069
6.9770074,3.3032317
4.615048,3.7650385
5.331058,3.173332
5.40867,3.263534
6.9886875,3.156044
5.8340735,2.706702
4.5775275,3.5719924
6.039211,2.7320135
5.666227,2.7092555
5.4185953,3.1652994
6.8450923,2.8660223
4.8947124,3.5155296
5.144724,3.1512809
7.063061,3.0468888
7.243051,3.244578
5.20183,3.3416617
5.3535595,3.3689327
4.8473687,3.733641
5.5445004,3.5477786
5.1449437,3.1336489
5.6130657,2.5937185
7.1992283,3.24867
5.992843,2.562469
4.864199,3.913282
5.8843136,3.1980634
5.2946315,3.3147423
6.947848,3.160426
5.4808884,2.740754
6.812867,3.0650313
5.0886374,3.341143
4.993004,3.5554318
5.654187,2.4512978
5.7656627,2.4621701
5.9889812,2.6989048
6.4936395,2.9575107
5.6789103,2.4779978
6.974014,3.141629
6.7849207,3.0750232
5.3046565,2.8031921
5.9226146,2.906874
6.1944075,3.4650333
6.864199,3.0601244
5.38598,3.4762547
5.6754565,2.77571
6.661863,2.930159
4.9772873,3.5099413
6.321107,3.2429693
6.008919,2.774641
6.1815047,2.734709
6.001951,2.782248
6.749124,2.9589198
6.398123,3.0235124
5.274814,3.2738957
6.813913,3.0981946
5.6970253,2.5045142
5.281887,3.5476797
7.212668,3.4055974
5.7792296,2.6962614
5.6233416,2.7789142
5.8650274,2.5839858
6.062403,2.7523174
4.8081927,3.6996715
6.6144185,2.9584794
6.9412627,3.0175443
4.861054,3.4732714
6.875163,3.042304
7.1404023,2.985789
6.0368342,2.491542
6.709597,2.9473681
5.387224,3.207098
5.679548,3.4522367
5.4392805,3.1631372
5.7732615,3.5421634
6.8607326,3.0200205
5.0958467,3.6948683
6.8573246,3.1314383
7.142927,3.5885222
5.0982075,3.238747
5.264711,3.343165
4.7471423,3.7378592
4.9498034,3.5794082
6.35879,2.9317012
6.8934674,3.1057277
5.7118754,3.1639476
6.3762465,2.78003
6.8301306,2.8489528
6.9166856,2.9724472
5.690368,2.7368329
6.4070845,3.2488015
5.8997445,2.7570662
6.7060685,2.9326568
5.747779,3.014128
5.899124,2.7495909
5.4049664,2.6912217
7.002981,3.1366599
5.617497,3.099084
7.006924,3.0411546
6.7100024,2.951828
7.2201743,3.2654316
4.9946795,3.4482806
6.5095663,2.9483483
7.146401,3.1904583
5.1190553,3.6495926
6.5564876,3.068242
5.445693,3.8166845
5.734917,2.823569
6.495462,3.052288
6.8069854,2.930379
5.710317,3.0754104
