petal length (cm),petal width (cm)
4.8103414,1.4771461
2.9137697,0.6951921
3.0258715,0.71732295
2.1826687,0.44514823
1.314534,0.19369893
5.015197,1.6589186
5.302294,1.7098732
4.0401692,1.0875064
1.1593052,0.14319515
1.4299605,0.22549748
5.1050253,1.6243396
1.1266254,0.13897887
5.226512,1.6578004
3.9007897,1.0924702
1.5183499,0.26258263
4.9815197,1.5271004
2.4200106,0.515388
5.5650578,1.8837638
1.2187655,0.14994617
5.257102,1.7181231
5.5668807,1.886406
1.192419,0.15831594
1.5606894,0.23719549
3.3440697,0.8825722
4.9128747,1.5383408
4.692266,1.4151125
2.4180646,0.50323373
1.5186461,0.26056898
5.043443,1.5903388
5.368535,1.8037236
5.0756626,1.5958773
5.2509494,1.7071583
2.6663985,0.5740997
5.1758614,1.7326943
5.3268013,1.7460494
4.7707253,1.4466724
1.5052916,0.25672618
1.8809757,0.35256302
1.1823909,0.15453137
2.1977797,0.4410192
5.116465,1.6700199
5.073779,1.6027143
1.9741659,0.37228042
1.444914,0.22695917
1.8670825,0.3379624
5.5778656,1.9550894
5.3110533,1.7376623
2.35407,0.45850015
5.0144362,1.6171405
5.4877143,1.8332391
5.00784,1.5807989
4.5448837,1.3013161
1.8603736,0.36221856
1.0725311,0.12095013
5.204664,1.711693
5.2395983,1.7115648
5.4830513,1.8690138
2.8123596,0.6868328
1.4833571,0.23260677
1.8899992,0.38445908
4.616964,1.4045837
1.1831249,0.14642882
5.064163,1.6910611
4.8780518,1.4949121
2.0914602,0.41047335
1.7497002,0.31445813
4.907579,1.5599225
4.7348046,1.4620922
1.27153,0.18223596
5.2339506,1.7004424
1.3685366,0.20938313
1.2298015,0.153832
5.031044,1.58729
3.9813442,1.0732547
1.8619668,0.3725947
5.608721,1.9060992
2.3263736,0.52570325
5.0315933,1.6678761
4.8227262,1.436096
5.145447,1.6636149
1.5329024,0.26890293
5.057868,1.6866654
5.0930805,1.6221726
4.8374963,1.4866592
1.8753369,0.30536667
5.387122,1.7809638
1.561173,0.2379925
5.320757,1.7275922
4.88063,1.4749806
5.240247,1.6905746
3.9952369,1.064218
4.656783,1.423568
2.6580038,0.63352954
1.4821309,0.23996402
1.2482312,0.17478013
5.472034,1.8185315
1.9821374,0.38383114
5.050071,1.6119267
4.850898,1.5251074
2.209757,0.4840892
1.9830351,0.3768283
5.2578173,1.6780169
2.1559372,0.42696393
5.011224,1.5956732
5.407591,1.8074669
1.0841295,0.12324488
5.627461,1.9011124
4.685228,1.4376621
4.9011364,1.5714195
4.2817693,1.2077308
2.114625,0.3975849
5.124767,1.6633132
5.0911775,1.660155
1.6065866,0.26815727
5.4209547,1.8268776
2.0983636,0.40538225
5.29103,1.7250186
5.425768,1.8445358
1.7730182,0.346689
1.8295692,0.34395373
1.9972979,0.36275172
2.103384,0.4088018
5.123333,1.6286275
4.9018855,1.5563142
4.658944,1.3653661
5.306466,1.7219048
5.3357625,1.7488894
5.048881,1.5806149
5.1461124,1.6483529
5.6895223,1.946392
2.1926694,0.48217282
5.3444824,1.7613623
1.6395814,0.29568145
1.9813402,0.41310084
1.8320439,0.33945668
5.2423368,1.781434
4.985969,1.5755603
5.2104077,1.6783375
5.518656,1.8995956
5.0914073,1.6185188
1.1317589,0.14173238
5.3315544,1.8457618
4.9809837,1.5619026
2.1927974,0.44005698
5.905045,2.0667624
1.8326579,0.35438344
1.5573502,0.2317152
5.87999,2.0314112
5.5444865,1.8773606
5.433691,1.7955109
