f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36,f37,f38,f39,f40,f41,f42,f43,f44,f45,f46,f47,f48,f49,f50,f51,f52,f53,f54,f55,f56,f57,f58,f59,f60,f61,f62,f63,f64,f65,f66,f67,f68,f69,f70,f71,f72,f73,f74,f75,f76
0.07560454,0.13855752,0.17769784,0.18782212,0.5467463,0.087391004,0.34625345,0.08500441,0.31724933,0.07476743,0.10138715,0.23026101,0.06001582,0.3319245,0.17689815,0.062359557,0.08884048,0.14123239,0.08274212,0.06598932,0.08249155,0.1524076,0.04268754,0.10499042,0.12698877,0.07705121,0.069290034,0.097103134,0.09321275,0.04880967,0.07684093,0.068693995,0.054404244,0.083511025,0.0779808,0.09247989,0.041608684,0.08059323,0.07516666,0.062295064,0.04587484,0.0501398,0.07230106,0.07006794,0.080473185,0.055009898,0.07141377,0.061168868,0.09171189,0.08258605,0.08262968,0.036587454,0.07871368,0.07552461,0.08098409,0.054301158,0.0676623,0.06683176,0.08614703,0.10513919,0.07109737,0.18799426,0.07434625,0.09568485,0.0698896,0.078337945,0.07403571,0.10731842,0.055469196,0.308103,0.08045975,0.34229264,0.06308491,0.45956868,0.14568181,0.36563557
0.0780185,0.103209,0.059182715,0.32676935,0.6430217,0.04826053,0.3474258,0.076344855,0.3165393,0.0794733,0.039448723,0.2890674,0.061761625,0.33670846,0.2031137,0.025000304,0.09192634,0.044962253,0.1822344,0.041949246,0.052963678,0.21302819,0.026409874,0.14473318,0.091941625,0.04960217,0.0464118,0.10152617,0.097473584,0.022859842,0.04476666,0.14815183,0.069540985,0.092809476,0.053096037,0.07419451,0.054796606,0.0497707,0.087281674,0.033831187,0.044547107,0.087935075,0.105755,0.038893096,0.040542953,0.038109574,0.035299335,0.053813905,0.02586566,0.0380822,0.06586652,0.0582277,0.044587195,0.09985909,0.040296108,0.077396035,0.025241096,0.054146774,0.046602566,0.068692245,0.040779073,0.14474858,0.06459217,0.16835618,0.029504085,0.1908119,0.050169975,0.068483986,0.04644748,0.22364314,0.04586956,0.3759755,0.033290457,0.4298051,0.081501536,0.42070153
0.08924004,0.24430807,0.08736664,0.23223501,0.5537361,0.09011488,0.5059663,0.039928272,0.39555877,0.10617681,0.049521476,0.28270873,0.0762278,0.3944962,0.18367039,0.046969686,0.14919493,0.07803819,0.11754644,0.10205643,0.052116863,0.121446945,0.04273637,0.16099517,0.10395002,0.053986233,0.095677614,0.05568568,0.053749267,0.050389405,0.051855326,0.09146277,0.056993056,0.10580339,0.08010248,0.055520277,0.06042614,0.062087297,0.050950717,0.04097692,0.046521526,0.06618186,0.050984915,0.064064994,0.10419657,0.07077807,0.03654949,0.062041037,0.043747038,0.061999008,0.07552511,0.04616728,0.0690727,0.10257097,0.048572876,0.050619815,0.062861666,0.05140196,0.08347263,0.155607,0.048288867,0.1658519,0.069803685,0.14582346,0.05923985,0.13934638,0.05152955,0.21962343,0.051977355,0.32063875,0.086978026,0.3554469,0.04850109,0.42214772,0.094414145,0.2885579
0.050730426,0.07612599,0.045300182,0.2637319,0.5897713,0.040548477,0.39813727,0.05602294,0.4112847,0.1912523,0.033118926,0.15191811,0.049757775,0.26155084,0.092727885,0.035816025,0.18237147,0.07067007,0.040941257,0.082274206,0.04214353,0.10389221,0.052618142,0.16720933,0.03077468,0.051881917,0.12014913,0.06553823,0.05604996,0.08269964,0.03941452,0.027705228,0.064379275,0.15442085,0.02008471,0.078617096,0.052116726,0.04466702,0.046162616,0.049707286,0.04550188,0.018434593,0.078744076,0.10371944,0.039810203,0.024706472,0.03862236,0.050192535,0.030622626,0.08858788,0.04810626,0.024418253,0.048568945,0.02013121,0.041156232,0.103337474,0.021786418,0.10371322,0.04228494,0.044392835,0.052503295,0.048355106,0.05839165,0.18114325,0.030737044,0.23384407,0.0423739,0.047229227,0.0533354,0.1464621,0.030846879,0.3230349,0.025615081,0.44085827,0.08560326,0.45917335
0.11429799,0.16130607,0.16106343,0.2334639,0.40080366,0.07374827,0.3308717,0.11816509,0.29046783,0.08681799,0.107967354,0.22075541,0.058331423,0.25055483,0.14299253,0.06426891,0.09200452,0.17819877,0.12686607,0.05868612,0.08980326,0.14491268,0.05804887,0.09600754,0.13710684,0.0681002,0.068193264,0.09195418,0.11558195,0.058194842,0.072866745,0.07735273,0.035676565,0.067040734,0.08897562,0.0712639,0.07370115,0.052770637,0.07998597,0.03910511,0.05815046,0.048913915,0.07677886,0.062265635,0.05701159,0.05420076,0.07568021,0.036098618,0.04892733,0.081273325,0.06830985,0.07494244,0.05226606,0.0794791,0.0646126,0.08049297,0.054730132,0.076051086,0.05458651,0.07393599,0.074453905,0.11691719,0.07193466,0.13240126,0.05974336,0.12046058,0.062604375,0.07756671,0.08527401,0.1699743,0.07584251,0.28517184,0.074028775,0.3650487,0.09537204,0.3635766
0.087845825,0.12731002,0.0928954,0.19667971,0.4959407,0.04289532,0.463109,0.09194365,0.4035817,0.12716517,0.08208115,0.1912137,0.098120995,0.31048447,0.15388043,0.07033591,0.10535014,0.122100905,0.09437214,0.13487816,0.05107866,0.13705711,0.07550516,0.10041375,0.13128799,0.055588968,0.08971144,0.07862825,0.055565123,0.069406405,0.0757505,0.067321606,0.043155696,0.080220364,0.060101815,0.08093726,0.05877004,0.05451138,0.040977124,0.0641535,0.068451844,0.040193334,0.041885108,0.065762036,0.10129723,0.05285356,0.077528395,0.060438752,0.08441314,0.12443417,0.073949665,0.03701967,0.10052485,0.06706281,0.06362629,0.05738579,0.082039654,0.11074864,0.07149673,0.07907342,0.06659276,0.11984108,0.05894234,0.10738747,0.062638685,0.15727666,0.085891396,0.05889749,0.08336035,0.18251503,0.045979653,0.27038634,0.04977829,0.42753482,0.069693595,0.36032623
0.09457425,0.0726093,0.06692944,0.33198795,0.3950931,0.04116074,0.34672657,0.071613446,0.31468996,0.061271947,0.0451472,0.15160854,0.059087954,0.22648,0.14801608,0.042457722,0.0732706,0.047178123,0.077527836,0.07363759,0.059488792,0.08553339,0.033546973,0.10193938,0.10389593,0.044818323,0.07235918,0.061890792,0.051007237,0.10141609,0.037876155,0.05221304,0.04105116,0.07184805,0.067114875,0.044499196,0.08896217,0.051443994,0.030005233,0.061271753,0.060345076,0.05358721,0.034253836,0.10277346,0.03632345,0.05479244,0.037753303,0.06251304,0.042626303,0.095820375,0.03703503,0.07033731,0.04418981,0.06403867,0.034055524,0.08633892,0.040905394,0.07656046,0.04515266,0.09092812,0.05016248,0.064486064,0.04170908,0.11307742,0.037462518,0.10088377,0.057175945,0.09033877,0.048134223,0.14992361,0.041091245,0.31613186,0.04748409,0.425657,0.0551294,0.42009172
0.12924036,0.2514485,0.094120055,0.195202,0.5466286,0.11711572,0.554859,0.11169808,0.2734564,0.091896325,0.07538256,0.28406134,0.13865529,0.45494953,0.18506452,0.16230266,0.046064176,0.101993054,0.14814582,0.08391836,0.050086163,0.19770707,0.11508456,0.08801832,0.13033585,0.08665201,0.04204279,0.13271514,0.12257414,0.05668047,0.06527847,0.0628754,0.11832863,0.06724932,0.043691292,0.050337598,0.046547398,0.088833235,0.09572122,0.04308922,0.06489212,0.05620613,0.08608866,0.050730687,0.083015084,0.043951493,0.10976836,0.07919936,0.07648187,0.09672584,0.07954504,0.025929332,0.11854761,0.05102668,0.07204984,0.07356029,0.085326225,0.054316215,0.09299315,0.1645845,0.046852913,0.18058257,0.083185986,0.101492725,0.07005992,0.06706398,0.1421744,0.21286243,0.10739134,0.35981876,0.052080676,0.24491923,0.061459687,0.34828436,0.15209389,0.23416522
0.05836075,0.12772538,0.12658377,0.30381265,0.51937413,0.045916323,0.38236555,0.077493116,0.3016206,0.10023047,0.058709953,0.21820107,0.07854187,0.29801497,0.21763225,0.049361277,0.09190418,0.09601375,0.10654463,0.080662385,0.07444767,0.16880442,0.048194714,0.14121452,0.14343318,0.063519664,0.05052735,0.091919325,0.07991349,0.06269823,0.11564396,0.13696982,0.030304857,0.04401526,0.085859224,0.099184334,0.049584217,0.11812419,0.05426517,0.044136357,0.14950082,0.052439537,0.052730914,0.039112043,0.046997804,0.040157363,0.093726076,0.03347682,0.08947286,0.03373844,0.04699642,0.029697143,0.054848146,0.066240594,0.059453376,0.07142255,0.07888652,0.058187813,0.042671844,0.042289805,0.038094647,0.10686057,0.046308186,0.12936372,0.05301955,0.09984236,0.065850474,0.060827486,0.068184204,0.16558418,0.041670788,0.3337189,0.032365743,0.3996082,0.0563971,0.4079174
0.039759412,0.21368967,0.04240603,0.32144195,0.4156479,0.06688141,0.48119956,0.06927345,0.47087067,0.19797388,0.049795445,0.14182189,0.04063209,0.27674612,0.060180627,0.056608375,0.18233243,0.065819636,0.07640273,0.090489194,0.079218715,0.04270087,0.052980587,0.12921607,0.06867638,0.036552172,0.06375812,0.053286802,0.08244418,0.10736746,0.031854898,0.04801355,0.052323684,0.05578197,0.053011842,0.030748108,0.076847374,0.044956196,0.08000339,0.048226625,0.028577628,0.09034917,0.03645727,0.040431585,0.03407529,0.08940248,0.051883064,0.04777276,0.036033522,0.08050653,0.035258453,0.06171615,0.026119238,0.063443705,0.075896144,0.09421672,0.034054805,0.11244135,0.04753981,0.1002878,0.05692561,0.053170577,0.10021998,0.15950261,0.033944722,0.20599055,0.06580371,0.08431794,0.059790578,0.11112455,0.073560245,0.1873662,0.068291694,0.37384707,0.05368195,0.36597827
0.04341207,0.14609706,0.062529095,0.35384727,0.654858,0.03301487,0.35708532,0.065790616,0.3040887,0.10452656,0.039782222,0.30135623,0.03947558,0.34765095,0.21782626,0.041527558,0.118766,0.054291226,0.18979613,0.05397532,0.040945895,0.21159776,0.04999788,0.14436154,0.16862531,0.046026744,0.051886328,0.055008303,0.1837275,0.05380113,0.04572321,0.1399729,0.03421686,0.09354969,0.1158104,0.044599436,0.047472563,0.067154296,0.1288989,0.051290024,0.05962434,0.06934762,0.05430948,0.04635709,0.033377536,0.07117334,0.038016576,0.078383036,0.033521254,0.049756713,0.07902489,0.08558206,0.037224468,0.119844854,0.04075623,0.066443644,0.03612454,0.070856884,0.039460182,0.06227049,0.035363175,0.119465604,0.038703706,0.15923071,0.02990564,0.13542964,0.049504913,0.09394887,0.06415325,0.23189898,0.041825548,0.34162638,0.027537199,0.36034837,0.061718844,0.4148963
0.066523574,0.04642051,0.040510055,0.2073713,0.47124705,0.024594681,0.40758714,0.084395625,0.28198665,0.087227784,0.05354833,0.117358506,0.04480414,0.30099577,0.110218056,0.02383538,0.15611988,0.050269507,0.06686374,0.12184846,0.029685212,0.024576148,0.04802664,0.13194443,0.03723329,0.031795062,0.12815604,0.035260655,0.02530623,0.08793785,0.032138355,0.03539902,0.035625286,0.06930455,0.03716759,0.047741313,0.09229301,0.02837167,0.034966994,0.08113224,0.045510266,0.02481503,0.02817359,0.07596401,0.029229788,0.022230988,0.041139416,0.10979293,0.026626892,0.08736873,0.038253304,0.0708512,0.036779217,0.037351627,0.046833906,0.13974315,0.044920024,0.1447982,0.041333742,0.04038751,0.061840586,0.051785897,0.030797876,0.14990522,0.03735083,0.12899435,0.034236148,0.05189336,0.035746068,0.1359071,0.05205241,0.36895347,0.0340885,0.5388962,0.07630468,0.47739518
0.050545,0.15487945,0.09229839,0.34433836,0.5229072,0.05888444,0.37806576,0.050324325,0.37881643,0.15559478,0.062589444,0.16390853,0.0834735,0.2310045,0.13854378,0.08482858,0.12197935,0.05741041,0.05648481,0.116648525,0.0916311,0.05972982,0.08139903,0.10438847,0.073294096,0.060019262,0.07396824,0.09123958,0.06297879,0.065784775,0.08576382,0.059658173,0.0963107,0.042207126,0.04135279,0.06966359,0.05867415,0.091286756,0.053107332,0.0504147,0.0828488,0.049129345,0.055009164,0.05783709,0.09181696,0.055056255,0.0834869,0.048843488,0.12332324,0.060012843,0.06054956,0.029915418,0.09089104,0.05175848,0.08878538,0.06732353,0.14008716,0.07149687,0.07595606,0.056607347,0.09385832,0.055527065,0.09411429,0.17657943,0.081749484,0.2129333,0.08889942,0.056316987,0.088180706,0.16457199,0.04172066,0.30841506,0.05284171,0.45712668,0.06318683,0.41029513
0.043375637,0.10556714,0.03245006,0.25621182,0.53068787,0.033589605,0.4539176,0.07263772,0.4477836,0.11865559,0.051466785,0.20643176,0.02877966,0.32697022,0.07207933,0.05086104,0.1628225,0.07277212,0.038789038,0.12853062,0.04657667,0.057191398,0.029190902,0.18067712,0.042495802,0.039884638,0.1347996,0.029298907,0.03984809,0.09169829,0.04701538,0.02383442,0.033433832,0.102247916,0.048699744,0.08306278,0.079425305,0.023302248,0.033487365,0.090851404,0.044188995,0.04093095,0.040275484,0.0504307,0.037870098,0.026222952,0.029469024,0.07182369,0.030945858,0.11272981,0.054705434,0.056911707,0.051144205,0.03333801,0.049144216,0.08235167,0.057061248,0.13969865,0.029656162,0.048046935,0.037771653,0.055495188,0.032998238,0.17459537,0.032156467,0.17473954,0.03470024,0.08553635,0.028269917,0.16597052,0.0878815,0.3718523,0.06549208,0.48410365,0.05974659,0.3581232
0.06629738,0.16288474,0.04529749,0.29802102,0.55731374,0.050167266,0.44116786,0.058525726,0.36234128,0.159892,0.06405907,0.14716719,0.059783354,0.31930345,0.14454156,0.044185054,0.1755938,0.06271877,0.06695381,0.16440366,0.043013934,0.053939786,0.068066075,0.14751452,0.057865307,0.039732736,0.1220789,0.07575696,0.032909006,0.06750572,0.07636322,0.026919957,0.06890311,0.0958516,0.03826982,0.058910154,0.069061495,0.051286127,0.031562373,0.08673735,0.042315986,0.022970198,0.044260416,0.052708853,0.057111233,0.028714301,0.0636448,0.08214594,0.042768683,0.098404564,0.08982071,0.037515655,0.08596961,0.039694376,0.042885788,0.10980325,0.06492756,0.15151763,0.05357103,0.048884593,0.0445611,0.053577933,0.07102161,0.1984728,0.051377233,0.22930863,0.051108085,0.063188285,0.07024841,0.18884899,0.055993874,0.3541344,0.03346188,0.49663347,0.07906542,0.46468776
0.0283746,0.1763524,0.026359217,0.3145306,0.69546854,0.014343303,0.37849113,0.038174234,0.31012943,0.06629913,0.019475067,0.25126055,0.04033937,0.43709016,0.2393308,0.014980453,0.07752193,0.035806544,0.14197248,0.045448568,0.037655376,0.18090203,0.015365851,0.16315897,0.18944168,0.030603236,0.03823995,0.05036205,0.12005246,0.06763601,0.040961187,0.13709672,0.018833358,0.061720498,0.095621176,0.032843824,0.07341436,0.055061664,0.122280054,0.05611325,0.034887653,0.10008173,0.0590117,0.06641604,0.029396763,0.09055498,0.025997128,0.108456336,0.050171822,0.03571997,0.030814676,0.1164265,0.019757641,0.1606435,0.031718858,0.12557068,0.025299413,0.09388215,0.031814724,0.106804736,0.023309944,0.20429297,0.038351733,0.1726249,0.033656415,0.17583323,0.026429856,0.051009256,0.03780297,0.29555357,0.011683124,0.40448493,0.01793037,0.46706647,0.027938629,0.47819224
0.03582431,0.08099669,0.057639696,0.28253967,0.47637257,0.053359482,0.4490269,0.039205894,0.3325474,0.10209592,0.036692925,0.20330125,0.04034715,0.36045972,0.18232836,0.04950728,0.122577384,0.051238813,0.06827257,0.14219901,0.05165543,0.10189213,0.04202871,0.15682116,0.144149,0.035577033,0.12830898,0.070418954,0.060361274,0.09007312,0.053529862,0.10228102,0.04111192,0.13577661,0.08689823,0.040542882,0.11985501,0.058065254,0.102649815,0.099295445,0.030425515,0.06330329,0.058969025,0.12263064,0.06472245,0.042017523,0.027552078,0.1272882,0.042930663,0.13740975,0.038113724,0.029744873,0.038526762,0.085439116,0.04365322,0.09505702,0.029474994,0.1255715,0.038321182,0.020178284,0.039724875,0.0614293,0.044242293,0.1266248,0.034103487,0.124678575,0.03133181,0.053640943,0.04085593,0.16007057,0.02358286,0.32802477,0.026876498,0.40647906,0.057564195,0.36020142
0.110269554,0.1819755,0.15281615,0.33064863,0.63031715,0.03848358,0.36002588,0.09191427,0.25724956,0.07103756,0.111695,0.25861278,0.10119405,0.28962496,0.21019652,0.07980962,0.08595753,0.11038004,0.17184708,0.0650183,0.090248406,0.15766099,0.074716486,0.13909405,0.124719925,0.0651636,0.07506803,0.06713837,0.12122754,0.089900896,0.046978794,0.10703633,0.060474604,0.065496765,0.06620734,0.08519876,0.08466903,0.05192474,0.047905374,0.088131845,0.052274253,0.06940115,0.07093662,0.06264295,0.06837292,0.04121238,0.057368506,0.11759644,0.05694488,0.09363315,0.09694585,0.09159452,0.0819406,0.08256756,0.077346824,0.074986964,0.067368165,0.09148431,0.06593906,0.1665232,0.11600845,0.12672833,0.09886161,0.09416244,0.08234115,0.13721973,0.075308844,0.13874523,0.08425108,0.27249995,0.06863721,0.3588462,0.08070696,0.39071453,0.09234055,0.31740302
0.056097656,0.093867384,0.035127714,0.29651242,0.5525557,0.044847395,0.4204834,0.077201545,0.40241396,0.10023771,0.042907473,0.1518014,0.06253767,0.2895389,0.17635295,0.026481776,0.15745571,0.06246226,0.060771443,0.10790336,0.029345218,0.08286976,0.050970707,0.16137667,0.04296685,0.035033755,0.10166274,0.07194051,0.045761015,0.064691,0.040157497,0.04641122,0.055123992,0.092511006,0.023738949,0.041208796,0.08645891,0.063063554,0.04043756,0.043808617,0.031456452,0.05462675,0.055991665,0.058405045,0.03181129,0.033756427,0.021414109,0.07896555,0.02485676,0.07927984,0.048796814,0.034947593,0.046461377,0.035421576,0.030483421,0.10676882,0.040707283,0.100814246,0.055719156,0.034380976,0.036365155,0.04697945,0.026614599,0.1700506,0.021553645,0.15882653,0.05069655,0.07334431,0.034547016,0.18691345,0.06267657,0.37701538,0.034338653,0.48525152,0.049012307,0.43547317
0.105358005,0.18525094,0.10110636,0.41638672,0.48233038,0.075338736,0.43738952,0.082993224,0.36005884,0.09486449,0.071987614,0.17593563,0.06065787,0.29847875,0.1589539,0.0717011,0.12092708,0.0645492,0.07378482,0.10651233,0.08457129,0.08927235,0.056173876,0.09971191,0.10027163,0.035880674,0.115327045,0.065048285,0.050852396,0.051200274,0.09226902,0.035497956,0.05843489,0.104758374,0.08311107,0.08398507,0.061797976,0.049807236,0.04109653,0.053664546,0.052991748,0.055223323,0.05125021,0.056217346,0.12130004,0.054565873,0.061092775,0.03328554,0.067306496,0.06999588,0.09506878,0.06839909,0.09973835,0.069657244,0.08537658,0.06390289,0.07906417,0.08369921,0.1218331,0.07426442,0.08751986,0.10057558,0.05780541,0.1055477,0.07489895,0.09724291,0.097497165,0.12587999,0.05208158,0.2408483,0.09559007,0.35497922,0.12840836,0.46089402,0.09556002,0.346079
0.038535677,0.0651721,0.027934775,0.29342195,0.6671896,0.014093046,0.32066575,0.04010769,0.39330807,0.042026382,0.023908472,0.29932812,0.017489301,0.34725305,0.16428977,0.02136586,0.082988225,0.070021845,0.058439948,0.034061525,0.033069964,0.1111157,0.023578579,0.16231404,0.083393775,0.02261692,0.043528993,0.03345783,0.09734684,0.049629934,0.028268693,0.054584928,0.020918103,0.06321014,0.067504674,0.018549306,0.056496877,0.029105771,0.049680155,0.028923044,0.033077825,0.062373776,0.027441252,0.047190223,0.017856738,0.089342386,0.023213675,0.052030325,0.020230813,0.03588143,0.02943867,0.11073358,0.020976907,0.08151962,0.02664043,0.08884907,0.016534777,0.057227857,0.02866929,0.15298042,0.023369642,0.12724318,0.03409803,0.15082614,0.0142996395,0.1313024,0.025398333,0.09332898,0.015907213,0.23248099,0.027644955,0.4146943,0.013316704,0.5449477,0.035101958,0.46969682
0.053042147,0.14981689,0.06904676,0.2364019,0.6517451,0.022750646,0.37865108,0.10280699,0.30045196,0.03361103,0.036710363,0.33731896,0.030567035,0.43408194,0.23483704,0.04470344,0.031694893,0.04752366,0.26753858,0.05727251,0.04319545,0.18667607,0.02886228,0.10333158,0.18738888,0.034101155,0.03197129,0.07493012,0.2115669,0.045443576,0.02431818,0.1292597,0.030505966,0.119567126,0.07619317,0.032957137,0.04401415,0.034064747,0.14734657,0.03869971,0.028245255,0.0720615,0.032233994,0.08118515,0.039028086,0.07105053,0.032592375,0.062415976,0.026496353,0.060029063,0.05583637,0.096865505,0.039223325,0.16399069,0.026061725,0.102450006,0.06911471,0.031716153,0.070299484,0.13424906,0.034420233,0.17943233,0.022126704,0.14980227,0.021427188,0.075089484,0.1072631,0.16969687,0.04960242,0.3121996,0.03784731,0.37482437,0.045238953,0.45042783,0.038917646,0.42344302
0.04676766,0.20519732,0.051923767,0.2899841,0.67773116,0.052860774,0.40871975,0.040342577,0.4300605,0.09242547,0.05648625,0.29716983,0.039215874,0.3406323,0.248376,0.040640432,0.106122576,0.054056033,0.12765527,0.06660442,0.030757697,0.21761477,0.037682075,0.12494615,0.13835049,0.06502945,0.05297764,0.04673716,0.15895806,0.046359662,0.054300737,0.1427233,0.05498291,0.07563986,0.11450608,0.05324353,0.06967186,0.03922336,0.120212756,0.039437745,0.07831083,0.08702341,0.05848306,0.061884727,0.06713115,0.08248112,0.05803512,0.042040896,0.042834796,0.04984129,0.062321827,0.13244791,0.053331412,0.14358859,0.06162338,0.07550292,0.044934124,0.08610347,0.05352739,0.1455587,0.072482124,0.17738707,0.06716961,0.1667171,0.03566255,0.17293969,0.05869472,0.11559414,0.052133173,0.29807013,0.050652605,0.38053903,0.033984173,0.4229178,0.0636375,0.4089947
0.06352774,0.09717555,0.07995777,0.26957554,0.6137382,0.029777791,0.46630934,0.046163935,0.358366,0.13598326,0.042118482,0.20101294,0.07151297,0.41614044,0.13719004,0.038577277,0.17642874,0.043349084,0.11603991,0.0869916,0.06306782,0.096565895,0.029944325,0.19526128,0.07838495,0.049486313,0.07285908,0.08108371,0.04063302,0.09034205,0.044350076,0.065415315,0.043945927,0.10813557,0.036426853,0.062243536,0.060805373,0.052890826,0.03592589,0.06875782,0.045556407,0.037239116,0.047613483,0.06586424,0.073353045,0.051447876,0.047927782,0.047483664,0.07209015,0.0881873,0.039176684,0.024788104,0.05396439,0.04909554,0.05016058,0.12543322,0.058245055,0.08496861,0.054609213,0.057940472,0.0468113,0.0738998,0.07296885,0.18220615,0.050651666,0.1928221,0.06845427,0.06159564,0.046751868,0.20496504,0.051803168,0.30693537,0.043095525,0.4274272,0.06554945,0.37932986
0.059701256,0.15957868,0.06328463,0.3541381,0.5474478,0.03475484,0.45226616,0.041387107,0.36653864,0.1086606,0.05139324,0.2477711,0.04152698,0.35827237,0.15073617,0.059445012,0.14706826,0.07240836,0.08115407,0.090755016,0.052944746,0.12357437,0.057768095,0.12453601,0.10740201,0.0912915,0.0755438,0.06384342,0.06753068,0.036934495,0.061796986,0.11265735,0.06833717,0.07813,0.0781792,0.092183374,0.037927866,0.08086394,0.092293054,0.03724211,0.0625041,0.06545282,0.10106256,0.056437407,0.09131273,0.051511157,0.052774474,0.03977281,0.059584416,0.050325777,0.09529155,0.054632973,0.07673053,0.09827095,0.04198599,0.051349554,0.068935364,0.05098878,0.09355059,0.07741013,0.0437183,0.1475717,0.044203654,0.13032404,0.048478886,0.12327599,0.09998071,0.12669429,0.07280748,0.2406173,0.04690281,0.29087743,0.033535764,0.41100872,0.05418201,0.34499502
0.04979102,0.1848153,0.06328885,0.24428236,0.53002566,0.04632089,0.39578667,0.054178607,0.38246882,0.12868169,0.028658977,0.19142108,0.03112349,0.37325895,0.13311762,0.04571518,0.13394624,0.039474435,0.07466848,0.079508185,0.058186445,0.085992195,0.038298246,0.11328575,0.06715131,0.05326412,0.07612994,0.041958883,0.05680991,0.0629959,0.04190859,0.04813555,0.070390515,0.059862483,0.048284482,0.035819706,0.06673707,0.046314873,0.037629906,0.031732347,0.04834657,0.08570543,0.04500811,0.021319345,0.044881247,0.07656365,0.027468674,0.048477694,0.041400936,0.044711377,0.052956503,0.061237678,0.04185361,0.056909427,0.05838592,0.096113935,0.036392912,0.074902244,0.07899954,0.07404707,0.03393074,0.100949965,0.072924815,0.15197147,0.037585817,0.21220669,0.048450205,0.0336903,0.038808912,0.15360524,0.02974973,0.32548872,0.021605266,0.4498359,0.11453392,0.39647856
0.060486685,0.16197482,0.07804945,0.2797438,0.5303113,0.04408621,0.4319957,0.07078907,0.40410298,0.052915715,0.032104008,0.24305972,0.04414472,0.34210727,0.19225365,0.06382575,0.050676573,0.026411273,0.16172874,0.06895893,0.05436696,0.14509691,0.02966417,0.10962074,0.17938834,0.04125312,0.04580558,0.028026786,0.16306296,0.078229986,0.06885432,0.0873267,0.030025192,0.052706815,0.0910706,0.049089205,0.048469085,0.044562913,0.13450742,0.07813674,0.07583611,0.05967174,0.040865637,0.048361566,0.042233143,0.06667205,0.069525644,0.07384662,0.0669284,0.054118916,0.055287637,0.08705852,0.046525463,0.075817,0.06726463,0.09295143,0.037623387,0.073810056,0.054864816,0.1928635,0.03587192,0.19478194,0.07772949,0.086267024,0.07519758,0.054678354,0.05806617,0.21074189,0.049040776,0.32122502,0.050800756,0.35808674,0.04540576,0.41729802,0.063583195,0.25244513
0.05891676,0.24948509,0.11766594,0.24298804,0.54645795,0.054935783,0.36262625,0.07534207,0.30499306,0.06925306,0.103679165,0.21109863,0.067805454,0.29454327,0.1708397,0.04809203,0.102538735,0.09460646,0.108839855,0.072277635,0.07926119,0.10524229,0.0446395,0.110117376,0.07866631,0.034506302,0.065105505,0.13917144,0.04062576,0.042191997,0.0996035,0.048910804,0.06824951,0.06940085,0.039018318,0.06728535,0.04201785,0.10110318,0.038435563,0.07429023,0.10064038,0.030061815,0.039163496,0.04186564,0.050590295,0.03418596,0.09055644,0.08320701,0.07866538,0.04919798,0.07190667,0.06500548,0.05929984,0.06097064,0.09141298,0.07265004,0.113010876,0.06735041,0.07681456,0.06321089,0.060985666,0.109680444,0.07449758,0.16324687,0.079837896,0.16305853,0.05827682,0.09952866,0.08195525,0.27093372,0.056729175,0.3526791,0.056731466,0.45530137,0.078773454,0.40255663
