f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36,f37,f38,f39,f40,f41,f42,f43,f44,f45,f46,f47
0.05327507,1.6381857,18.67996,63.169,105.41328,509.9761,109.36233,0.058130234,0.98598635,6.0505934,17.494205,58.658978,70.748405,0.19788808,5.5752215,34.868954,57.51228,232.47496,395.7944,0.12200782,2.0715382,12.886734,49.293774,92.691734,0.75516355,11.572663,54.2415,47.55814,420.0838,0.3239351,5.4703627,43.013958,87.92971,1.9898614,28.187004,189.20125,81.18236,1.1523643,23.459713,47.35788,6.728508,163.76024,390.29672,5.728151,29.569567,52.338726,573.49225
0.030896671,0.88406837,10.694167,46.104046,100.59602,385.82645,151.6502,0.06045802,1.236321,8.840436,51.592304,119.63285,97.58707,0.101825796,3.008591,23.06287,50.90445,152.52483,345.95215,0.15201019,2.6914773,34.600426,97.775665,126.00699,0.4045193,7.2725434,43.759754,99.03753,340.88608,0.40562356,12.548839,70.13546,116.20243,1.168556,23.077667,212.6427,77.1298,2.3949997,36.03787,83.211174,5.158728,156.72894,407.04813,8.526041,53.334026,47.279602,540.3899
0.026122253,1.0539217,10.603849,46.386894,72.79027,368.24533,353.8722,0.036396656,0.6782551,7.042373,38.36166,69.45476,35.050148,0.11586083,3.10358,21.600498,39.50416,100.70422,462.5958,0.085501276,2.041296,23.923994,54.910454,29.947618,0.403791,7.174421,42.50153,121.14951,367.61765,0.31170276,8.84941,43.011463,20.469305,1.0801367,23.938097,263.31293,55.081963,1.7536758,22.243322,26.01969,5.8446865,185.03415,407.7979,5.4358864,27.435848,55.510426,573.6768
0.031606745,0.97841275,15.30378,59.567955,100.570145,404.67856,242.11842,0.059383124,1.675585,12.467446,33.24968,46.15386,62.9499,0.12169466,4.3347616,29.964735,68.11415,177.43005,282.61115,0.22718924,3.8108735,21.633463,30.636198,60.235542,0.57629114,9.890254,59.71033,159.46613,246.10732,0.6153695,8.376524,25.9001,50.721107,1.526647,30.041832,271.59192,74.597244,1.708659,14.880923,41.365524,6.7599716,193.83765,417.44116,3.7883177,28.405933,57.545425,572.797
0.038766604,1.5518894,12.004818,45.8706,49.30886,382.0466,185.08362,0.07603848,1.4674532,11.221291,63.90204,67.971794,122.88675,0.18265109,3.3567526,24.585176,69.18556,222.91403,347.37817,0.18796375,3.2256064,34.35476,46.71559,86.70298,0.46279642,8.440182,76.26925,152.03653,271.67355,0.5262164,13.147418,34.355576,42.08639,1.4356114,41.7142,232.51994,74.679184,2.451688,17.614273,45.50922,9.708474,160.42776,381.04807,4.332935,40.732307,48.081062,508.0216
0.1917059,4.8039927,44.43144,141.37933,184.2612,240.41115,249.06796,0.107210614,1.836074,9.240821,23.940434,42.21411,71.985275,0.5701698,13.695483,89.45396,226.65591,170.43199,167.43611,0.25345725,3.12528,14.310276,41.2523,92.295135,2.0157223,33.072655,181.36925,213.6195,100.170944,0.5429058,5.853821,30.699835,113.59863,5.8048115,86.59623,292.7691,100.27529,1.114345,15.797111,103.50324,19.107393,211.4188,326.83896,3.8947673,68.2518,63.827477,443.38086
0.07883152,1.4684114,29.198532,124.19453,158.29558,496.2251,98.99951,0.123005025,2.4090803,15.257575,30.17138,33.18504,56.067127,0.18274002,8.517846,66.89631,49.901154,293.09918,247.61821,0.32599014,5.112329,22.531096,27.489557,54.678944,1.2407322,22.716259,34.63941,80.025566,303.995,0.7865496,10.751378,31.116072,35.062054,3.7510107,20.11236,218.1881,86.48582,2.2106209,18.610222,22.05944,4.7998595,175.7977,387.60138,4.9264555,19.954634,55.24231,562.7886
0.035598237,0.99803334,9.8282795,34.71831,109.13643,479.1273,128.9473,0.074552685,1.652349,11.351723,37.721363,60.090652,44.880405,0.12284845,2.7723835,18.956663,67.26216,210.72308,451.56473,0.20585139,3.693767,27.797054,61.93145,54.200916,0.38477644,6.614662,61.208824,69.77972,437.22757,0.555629,11.929227,58.68191,52.074608,1.1255893,33.474384,192.59848,107.67767,2.3330214,32.227978,34.076797,7.609445,150.95068,404.41327,8.008118,23.675865,47.185783,551.5549
0.04144606,1.5379468,26.915852,109.43003,155.16272,503.82727,130.3132,0.048058398,0.9146206,5.0517154,17.222086,19.255674,74.24171,0.17281857,7.685885,52.69678,43.14176,292.94855,360.7919,0.11028928,1.5764517,11.447965,19.244339,60.03296,0.95537806,16.548687,29.079199,70.676254,402.56155,0.24669532,5.283465,22.335535,33.426876,2.654844,16.949448,205.3318,52.856102,1.0939548,15.36363,26.147768,4.0675063,166.34448,352.9481,3.993491,24.020313,51.323505,536.7055
0.04688915,0.9712473,24.229517,108.79245,188.25395,453.9614,175.10709,0.08684382,1.47325,8.926204,42.89931,29.718702,47.43912,0.11181333,6.992911,53.970627,64.241554,248.13391,192.05768,0.17329217,2.9399076,32.568363,47.085293,34.357807,0.93699175,17.57278,33.83029,118.97974,185.85149,0.45671788,13.9216585,63.5492,16.701443,2.7311516,15.584543,238.51656,126.232155,2.7413135,42.356907,27.614773,3.4779558,179.40424,454.96954,11.478497,36.470505,53.67878,599.5551
