f1,f2,f3,f4,f5,f6,f7,f8,f9
58.556896,39.738155,61.95046,97.58593,61.688217,101.409065,101.16521,25.09873,57.740215
55.297375,28.205498,52.198814,95.49664,51.139313,92.970955,77.16591,23.62403,54.577396
51.208202,26.01123,49.911915,95.531685,49.913162,94.045044,71.10254,23.624561,53.590443
59.28031,44.15054,64.852684,104.132484,65.350235,107.77973,108.71775,28.60009,62.614475
54.50032,30.550161,53.76306,99.62285,54.118717,96.72383,86.05139,24.51065,56.276707
53.999138,48.840565,69.77009,89.230446,68.87672,103.76337,95.36013,26.682493,56.991165
64.22047,26.932545,50.56992,101.06581,49.602512,92.253746,83.30706,23.794256,55.87899
56.62011,42.823406,64.27869,99.367615,63.276638,104.10889,102.74109,26.34263,58.943966
64.10612,26.543472,50.17018,99.77162,49.264915,91.61932,82.05926,23.833788,56.189106
46.22212,36.9104,58.113354,96.21962,59.819897,103.35681,87.21933,25.527029,56.84526
59.962704,28.359129,51.834164,99.244896,51.81404,94.66316,87.73123,23.667704,55.948143
59.415543,57.548347,76.99375,94.60992,81.96245,120.80203,88.634476,37.986805,73.60913
48.41203,34.004078,56.913216,96.27072,58.756817,101.90499,84.781,25.72219,56.880787
69.3159,29.90614,53.495415,100.85416,50.151627,91.69736,94.79887,23.783909,56.746563
54.29674,45.929256,66.48834,98.449135,68.171875,109.05996,100.344444,28.346548,62.361546
48.149334,34.913296,58.412273,88.72326,58.20735,98.24938,78.89921,24.707245,54.100857
55.404964,51.50503,73.39055,94.44509,79.57012,119.12219,86.52833,39.030445,72.092514
43.724678,34.120045,57.04996,93.15068,58.30901,102.18793,78.47829,26.779202,56.956615
54.237724,35.556606,57.26938,95.98706,57.94187,98.60458,95.276115,24.412163,56.47571
47.187958,34.427635,56.87507,92.67255,59.610313,100.52448,79.84066,25.227999,54.730377
63.68221,56.181858,74.235214,106.366486,75.411514,116.17285,106.46823,32.875504,68.45287
56.211796,26.65116,50.28516,96.009384,49.772552,92.404655,74.86696,23.37489,54.749393
49.46988,33.353695,56.36549,94.39668,57.18585,100.150734,85.148796,25.175768,56.89006
58.919823,25.045559,48.926376,96.47869,46.979385,90.02413,71.330284,22.308134,52.954765
48.373898,29.70023,52.652023,93.95592,52.97049,95.80201,73.828186,23.765127,53.583855
47.72536,28.5036,51.604195,92.37032,51.741096,94.3776,68.210464,23.15858,52.732056
68.25923,28.934837,52.68512,103.74322,51.457184,95.02099,99.7729,25.598866,59.920856
59.01623,35.180088,57.909237,99.18029,58.07023,98.6847,98.234245,25.639704,58.51952
59.013783,36.21456,58.771626,98.95896,58.636635,98.69219,97.33675,24.75799,57.20056
50.725418,38.095417,59.278843,97.36668,62.272743,104.55612,94.48776,26.766104,58.657883
43.122692,31.946438,54.892338,89.31676,56.53403,97.75571,68.99012,24.294008,52.90434
52.214607,48.269688,68.381516,92.72383,81.76627,121.09342,70.85431,38.278744,70.06608
54.113785,26.638992,50.55657,97.05312,50.54318,94.60554,74.79542,24.173628,55.315536
55.72583,27.345226,50.806946,96.23065,50.331337,92.961426,75.80425,23.32546,54.62494
51.460274,41.4967,63.20019,95.69339,66.23953,105.70691,91.2051,27.578892,59.04522
59.059696,53.0408,78.458275,96.61573,71.16522,108.88971,107.80982,30.8212,65.158165
54.206837,38.78895,61.39309,92.891014,59.962982,98.75238,93.87369,25.561314,57.36235
57.680202,38.53518,59.92275,98.194984,60.795715,100.86535,95.19806,24.90407,56.973503
61.31489,27.437546,51.30112,98.65634,50.047806,92.525955,84.99401,23.41788,55.98844
70.30249,81.55775,107.1194,99.99243,94.43478,133.33913,98.792206,67.260605,102.25239
48.875576,33.781555,56.614372,94.012405,57.748985,99.8791,84.022865,25.155426,55.796608
59.495346,25.578323,49.48892,95.52843,46.879078,89.144455,74.96388,22.616405,54.25687
62.28202,58.030403,78.40929,96.43763,79.04521,116.14896,95.11702,32.520073,65.84495
60.209423,59.01444,77.9451,98.70866,80.74423,119.173386,98.11104,37.974567,74.00001
59.015316,26.298693,50.471073,95.641655,48.748962,91.044464,76.1813,23.52401,55.05469
52.339745,49.577774,69.750534,89.44507,66.14446,102.80229,94.3824,25.858086,56.88203
49.597107,29.302378,53.109207,91.57663,52.836136,94.67791,73.39118,23.793459,54.130615
50.617702,30.24531,53.930126,96.25212,54.801743,98.277885,82.87841,25.283634,56.608624
64.50533,33.09611,56.220753,104.77973,55.764038,99.81438,101.43392,25.200209,59.077168
57.288662,29.293888,53.616207,97.3472,50.93443,94.573456,85.332726,24.58447,56.538094
51.724163,62.851257,101.59868,79.063,69.19307,102.0844,50.427902,30.54401,54.56462
63.5254,54.708313,76.1683,104.72046,77.85759,117.68953,101.0666,32.669773,67.38859
70.519905,32.440056,55.51402,107.39701,53.39555,96.275696,101.23428,26.2111,61.24475
53.77072,29.533037,52.690018,93.63331,52.47138,94.43431,80.13108,23.903387,55.46612
59.650375,47.53867,69.1653,104.04427,67.087654,109.85488,107.75037,29.443945,62.69487
58.012386,28.182465,51.966347,94.93571,50.142883,91.82956,79.918846,23.397179,54.726757
57.532845,27.239204,50.733162,96.271866,50.75693,92.684746,81.22564,23.863262,55.723534
55.93373,55.018703,81.395485,82.510445,92.46432,133.48637,93.63338,73.87478,109.64593
62.707703,31.017818,54.70464,96.45016,51.69595,92.96443,90.0498,23.981604,56.379684
62.559,29.25165,53.243534,97.62056,51.891224,93.81088,90.49852,24.233345,56.717503
67.728645,24.082518,48.143635,99.59292,45.735092,89.10938,77.12517,22.11418,54.55028
54.038136,29.382685,52.461716,94.39518,52.949375,95.08022,83.08862,24.533098,55.897377
51.530224,31.979301,54.760662,93.550316,55.834503,96.896545,82.23549,24.556961,55.58966
56.961998,27.072794,50.969307,97.149734,50.487103,93.90982,81.76995,24.099764,55.7811
57.99105,29.777273,52.792057,97.21896,53.100273,94.30208,88.60277,25.000353,56.5259
53.028904,27.12517,50.634724,94.63274,50.43208,93.475685,73.0663,23.57825,54.247814
57.884964,38.891422,60.294846,100.511116,60.01821,100.989975,101.18351,26.27647,58.531967
63.697445,28.985807,52.616646,99.43749,52.09506,94.78829,91.90911,23.872774,56.414726
49.81276,40.166935,61.334827,95.31985,61.999622,102.779106,91.91892,26.596582,58.10251
66.67737,28.862581,52.121986,102.050224,50.544544,94.38724,94.06541,23.370577,56.624107
54.97309,27.639286,51.612976,95.2171,51.575123,94.18329,81.484055,24.162838,55.545383
