f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18
49.28374,-9.005235,18.681406,-9.59816,-44.485016,-49.642166,-35.336758,-2.8709228,-11.322854,-19.443863,-1.1527969,-4.1753445,-21.099781,-0.9446802,-4.477669,-18.409115,-1.6102418,-4.052929
49.671722,23.128603,45.758713,-0.4539333,-23.579967,-32.295704,-3.578404,5.905384,-0.05340931,-21.762945,-1.0054237,-4.8977547,-24.89926,-1.1773449,-5.3939433,-21.654705,-1.8600239,-4.580816
56.771313,23.524527,46.68553,1.1721499,-23.36559,-31.711487,2.8230658,6.403916,1.5074518,-21.923553,-1.1165117,-4.2683063,-24.809715,-1.1413251,-5.1327605,-21.081402,-1.5013522,-4.2611465
57.267452,2.3427515,27.245548,0.19868667,-39.456932,-44.57691,-22.756678,0.2550068,-6.0475297,-19.11565,-1.0726142,-4.0165887,-20.604748,-0.8425995,-4.443896,-18.302425,-1.5545852,-4.0261827
54.555653,11.337599,34.603477,-1.5660437,-32.53831,-38.743034,-17.993107,2.6907365,-3.9525301,-20.502537,-1.3653647,-4.7886767,-22.580328,-1.0303274,-5.041685,-20.255684,-1.9086136,-4.553424
58.94231,-1.1248115,18.407785,11.556264,-38.876453,-38.25223,-11.4133,3.5845203,0.32730478,-19.437948,-1.6485881,-6.068617,-20.835815,-1.217798,-5.629277,-19.227291,-2.5340936,-5.141776
51.707474,-0.7048976,21.887442,-0.12334881,-37.79489,-41.32106,-25.225874,1.5983088,-4.2973733,-19.925007,-1.4932743,-5.2044125,-21.44383,-1.1209577,-5.104888,-19.076124,-1.9593078,-4.5397706
55.6187,17.652313,40.66295,-0.032127783,-26.72865,-34.57316,-10.520999,4.1434994,-1.6799048,-19.817286,-1.5773369,-4.5870023,-22.219517,-1.0737529,-4.9284816,-18.85638,-1.7530245,-4.2425556
44.67235,16.740107,37.76451,-3.7251232,-26.84307,-33.4256,-12.3365345,5.3575687,-0.64642334,-18.827492,-1.7285817,-5.2391686,-21.329956,-1.1544203,-5.1639295,-18.239393,-1.9688176,-4.318137
58.01983,2.8434741,28.238838,1.3828657,-37.07898,-40.841904,-19.643808,1.4810839,-3.6732488,-19.144005,-1.0750804,-4.4990206,-21.216005,-0.9605453,-4.645102,-19.181137,-1.7814339,-4.1689115
55.908142,20.129406,41.771076,6.1227655,-24.250425,-31.048662,1.5573988,6.271478,1.7730293,-19.705347,-1.4163709,-4.671947,-21.52101,-1.242008,-5.173601,-18.476387,-1.709488,-4.3111186
